Comment,Emotion
i seriously hate one subject to death but now i feel reluctant to drop it,fear
im so full of life i feel appalled,anger
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy
i feel suspicious if there is no one outside like the rapture has happened or something,fear
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel a bit annoyed and antsy in a good way,anger
i feel like i ve regained another vital part of my life which is living,joy
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
i was bitten by a dog,fear
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
i just try not to talk to anyone when i feel irritable like that,anger
i feel like they hated me since then,anger
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear
i feel much better and without the help of ice,joy
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear
i stropped about for a bit feeling grumpy because i was missing out,anger
i have a feeling i shall go mad,anger
i am happpy when i get good results in the field of academics or athletics,joy
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy
im feeling deeply overwhelmed by these ordinary tasks,fear
i feel so grouchy and irritable when im sick,anger
i feel my heart shaky all the time now,fear
i expect and i feel content with that,joy
i feel amused at the absurdity of it all,joy
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy
i would feel joyful,joy
at a certain situation i felt myself neglected and undeservedly harmed,anger
i felt good and feel fine today too,joy
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
im feeling slightly optimistic,joy
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger
im still feeling indecisive im polling yall p,fear
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i just feel so fucked up these days,anger
i confess that i was feeling nervous as i made my way to the event venue,fear
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy
i feel like i have been a bit obnoxious in my picture posting,anger
i feel morally outraged and furious more often than i d like,anger
i feel pissed my friend didnt offer me a soda,anger
i feel our hearts are treading dangerous territory,anger
i feel frightened by it all,fear
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feel shafted or greedy,anger
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy
i feel a bit pissed off because we went first,anger
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy
i really like how the special edition really does feel special with songs on it,joy
i would accept your gift without feeling mad,anger
i feel hesitant to do it since i don t have any experience with programming and all,fear
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger
i do feel confused,fear
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger
i feel so tortured,anger
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear
i feel so comfortable around him,joy
i feel completely unsure of any boundaries or normalcy,fear
i think of or feel gratitude i think of my kind and gracious heavenly father,joy
im feeling really really left out and somewhat dissatisfied with everything,anger
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear
i am feeling weird and feel wanna know,fear
i had an incredible feeling of frantic despair,fear
i feel reluctant to sell but hey,fear
i take a long sip and feel the cold sensation of the iced capp,anger
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy
the possibility of having failed the examination,fear
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger
i feel like the earthquake has also shaken the foundations of my life and work,fear
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear
i feel so bitchy and mean and terrible,anger
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy
i feel assaulted the new kid whined,fear
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy
i have a feeling that your father already convinced him of that,joy
i feel im not bothered by that,anger
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger
im totally feeling bitchy and resentful about it,anger
i drove to class i was feeling a little apprehensive but still no sweat,fear
i feel so wronged but what can i do,anger
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear
i feel suspicious of wrinkle prevention beauty products for some reason,fear
i feel you see frantic and thus i am afraid,fear
i am feeling so grumpy today,anger
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy
i cant help but feel suspicious of everything,fear
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy
i feel a little bit frightened of islam,fear
im with her i feel terrific,joy
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear
i shut the door but i didn t feel triumphant,joy
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy
i know you feel tortured reading this,anger
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger
i feel like it must be a popular choice to have alterations done elsewhere,joy
i feel bothered,anger
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy
i find it very hard to feel relaxed for more than hours,joy
i am just feeling grumpy and sore,anger
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear
i feel your motivation will be satisfied when you read this write up also who understands,joy
i walk in the door to my house i feel happy,joy
i feel more terrified than the customers will be in my maze,fear
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear
i have been neglecting the feeling of people around me i was stubborn,anger
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear
i typically respond when i feel offended,anger
i am wearing and feeling confident about myself,joy
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear
i feel unprotected if i do though,fear
im feeling artistic today,joy
i confess to feeling a bit nervous now though there are some very talented people in the group,fear
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear
i feel my strengths are that i m very determined motivated in the workout room,joy
im feeling doubtful about my writing dreams to know shes behind me,fear
i feel so enraged that i want to punch him but i don t because he s only years old,anger
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear
im so excited but feeling kind of shy about it smile,fear
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear
i feel like im back to the arms of a beloved last seen a long time ago,joy
i feel satisfied and happy with my choices today,joy
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy
i feeling confused with my life and want to know why my life,fear
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger
i was feeling and i said impatient,anger
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger
i feel uncomfortable when i need to sit through a bad presentations,fear
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear
i feel helpless because i cannot stop it,fear
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
i do feel very angered though,anger
i am feeling very virtuous today,joy
i just feel so good inside when i see people walking away with their own handmade pieces of,joy
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear
im still feeling all wimpy it may be another skip around,fear
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy
im not feeling pissed off about picking up those toys,anger
im feeling so goddamn pissed and just,anger
i hopped on the scale this morning feeling none too optimistic,joy
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy
i want to not feel shy with them i want to have fun with them,fear
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger
im feeling brave this would be nice with black tips,joy
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy
i wonder how genentech feel about a hostile takeover by its global partner,anger
i feel that when i run i that is me sarah the mind am supporting this body,joy
i feel truly impatient that this is taking so long,anger
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy
i dont hate you i just honestly feel so bitter towards you atm,anger
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy
i sometimes feel hated but i am not it is all in my head,anger
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear
i feel like i need cute pictures to share,joy
i wake up feeling triumphant,joy
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy
i am left feeling very confused and blah,fear
i got a feeling by the look in her eyes that she was sincere,joy
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear
im watching a movie called sharknado i feel like my intelligence is being insulted,anger
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear
i still feel like i get walked all over but well i m trying,joy
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger
i feel like i cant be brave,joy
i wish i could call off the wedding just so i can feel carefree again,joy
i didnt feel scared at all,fear
i feel really contented just listening to the song,joy
i dont know who i like i feel so bitchy and flirty,anger
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear
im so damn tired and i feel a little grouchy,anger
i was feeling quite something im not sure,joy
i feel rude feel free to grab the seat next to me,anger
im contemplating and feeling skeptical,fear
i feel irritated useless and hopeless,anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i hurt your feelings or angered you with my last rant im sorry,anger
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
i was just yesterday feeling uncomfortable with highschool sigh,fear
i feel better now on the menu tonight,joy
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear
i feel stressed out i would watch movies alone or just walk on the streets alone,anger
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
i feel bitchy i guess,anger
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,joy
i feel have been convinced by many factors in our culture of a kind of cooking mystique,joy
im feeling very angry kind of sad tired and bored today,anger
im feeling a much more festive with the tree in,joy
i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,joy
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear
i feel like i am being obnoxious by posting every three seconds,anger
a girl entered in the division where i work and greeted everybody but not me,anger
i started to feel apprehensive about it,fear
i should not feel afraid we can stop shoulding all over ourselves,fear
im feeling bitter towards them god,anger
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger
i can understand feeling uncertain about the abc link,fear
i came to china feeling a little frightened of everything around me,fear
i tired of hearing of these unique communications special feelings and how sincere you are,joy
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,joy
i do feel weird why seldom people eat at there,fear
i am not feeling fearful,fear
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,fear
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger
i feel that the very foundations of my faith have been shaken to the core,fear
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,anger
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger
i feel crazily indecisive impulsive just in a,fear
i feel overwhelmed when i think of a country suffering,fear
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger
i feel really free i feel that i can grow wings amp fly,joy
i couldnt help feel infuriated when i had left the building,anger
i just feel kind of heartless now,anger
i feel stubborn and strong and ready to fight this disease,anger
i was also feeling really pleased that i decided well cajoled bullied and ordered to go out running this evening,joy
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
i am feeling especially lively,joy
i didn t need to mention our difference but i was feeling very vulnerable because of the differences and was having a bit of fear that in someway i am doing something wrong,fear
im already feeling less agitated,anger
i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,joy
i feel like a greedy person for liking two people,anger